track,direction,frame,pol,lon,lat,bbox
53,A,44,NASV,56.394,76.432,50.10 75.01 61.05 77.54
53,A,45,NASV,46.21,76.817,38.80 75.36 51.51 77.60
53,D,46,NASV,35.746,76.673,29.51 75.04 40.19 77.54
53,D,47,NASV,27.496,76.239,21.89 74.53 32.15 77.18
54,A,42,NASV,46.25,75.259,39.89 73.76 50.74 76.59
54,A,43,NASV,39.138,75.966,33.18 74.51 43.44 77.17
54,A,44,NASV,31.293,76.441,25.14 75.03 35.84 77.54
54,A,45,NASV,21.262,76.816,13.86 75.36 26.56 77.60
57,A,20,DHDH,26.354,36.45,24.25 35.21 27.73 37.99
57,A,21,DHDH,25.576,38.436,23.41 37.19 27.00 39.98
57,A,22,DHDH,24.753,40.415,22.51 39.16 26.22 41.96
67,D,119,NASV,-49.837,-61.05,-52.26 -62.58 -46.84 -60.03
67,D,120,NASV,-50.651,-63.095,-53.27 -64.63 -47.44 -62.07
67,D,121,NASV,-51.551,-65.136,-54.40 -66.68 -48.09 -64.11
67,D,122,NASV,-52.57,-67.196,-55.72 -68.78 -48.80 -66.15
67,D,123,NASV,-53.768,-69.309,-57.32 -70.94 -49.61 -68.23
67,D,124,NASV,-55.104,-71.333,-58.94 -72.81 -50.56 -70.36
69,D,64,DHDH,-69.963,48.679,-71.93 46.95 -67.52 49.84
69,D,65,DHDH,-71.041,46.733,-72.93 45.02 -68.69 47.89
69,D,66,DHDH,-72.047,44.778,-73.85 43.07 -69.78 45.92
69,D,69,DHDH,-74.745,38.901,-76.34 37.26 -72.72 40.00
69,D,70,DHDH,-75.518,36.952,-77.07 35.28 -73.54 38.07
69,D,71,DHDH,-76.265,34.963,-77.77 33.30 -74.35 36.08
69,D,73,NADV,-77.621,30.988,-79.00 29.39 -75.86 32.06
69,D,74,NADV,-78.262,29.022,-79.62 27.39 -76.54 30.11
71,D,70,NADV,-125.427,36.897,-126.94 35.24 -123.52 38.01
71,D,71,NADV,-126.166,34.932,-127.62 33.32 -124.32 36.01
75,A,140,NASV,-54.653,-75.989,-60.94 -77.16 -50.07 -74.55
81,D,119,NASV,-39.444,-61.054,-41.89 -62.59 -36.42 -60.03
81,D,120,NASV,-40.26,-63.099,-42.90 -64.64 -37.02 -62.08
81,D,121,NASV,-41.16,-65.141,-44.03 -66.69 -37.67 -64.12
81,D,122,NASV,-42.181,-67.201,-45.36 -68.79 -38.38 -66.15
81,D,123,NASV,-43.38,-69.313,-46.96 -70.95 -39.19 -68.23
81,D,124,NASV,-44.771,-71.406,-48.76 -72.99 -40.13 -70.36
81,D,125,NASV,-46.399,-73.444,-51.01 -75.08 -41.17 -72.37
82,A,44,NASV,52.011,76.443,45.87 75.03 56.55 77.53
82,A,45,NASV,41.977,76.814,34.57 75.36 47.27 77.60
82,D,46,NASV,31.517,76.667,25.28 75.03 35.96 77.54
82,D,47,NASV,23.274,76.231,17.68 74.52 27.92 77.17
84,D,73,DHDH,-92.25,30.965,-93.65 29.39 -90.45 32.02
85,A,20,DHDH,47.167,36.476,45.06 35.24 48.54 38.01
85,A,22,DHDH,45.607,40.334,43.27 38.99 47.15 41.99
85,A,23,DHDH,44.695,42.412,42.31 41.13 46.25 43.98
85,A,24,DHDH,43.747,44.45,41.22 43.09 45.40 46.12
85,D,69,DHDH,-114.289,38.884,-115.89 37.21 -112.26 40.01
85,D,70,DHDH,-115.069,36.924,-116.61 35.29 -113.11 38.02
87,D,56,DHDH,-146.171,63.733,-149.14 62.09 -142.67 64.85
87,D,57,DHDH,-148.258,62.115,-151.31 60.27 -144.74 63.37
87,D,58,DHDH,-150.401,60.247,-153.22 58.42 -147.10 61.49
87,D,59,DHDH,-152.308,58.347,-154.93 56.53 -149.19 59.57
87,D,60,DHDH,-154.021,56.422,-156.48 54.62 -151.08 57.64
89,A,140,NASV,-44.075,-75.939,-50.58 -77.15 -39.32 -74.46
89,A,141,NASV,-46.208,-73.896,-51.89 -75.12 -42.08 -72.36
89,A,142,NASV,-47.956,-71.816,-52.92 -72.97 -44.39 -70.35
89,A,143,NASV,-49.369,-69.771,-53.84 -70.93 -46.17 -68.28
89,A,144,NASV,-50.596,-67.683,-54.65 -68.83 -47.71 -66.19
89,A,145,NASV,-51.656,-65.613,-55.36 -66.73 -49.04 -64.16
89,A,146,NASV,-52.589,-63.55,-56.02 -64.68 -50.17 -62.06
89,A,147,NASV,-53.437,-61.47,-56.62 -62.57 -51.21 -60.02
92,A,32,DHDH,-141.984,59.818,-145.66 58.40 -139.56 61.44
92,A,33,DHDH,-144.077,61.691,-148.02 60.26 -141.52 63.34
93,D,101,DHDH,29.834,-24.83,28.60 -26.29 31.44 -23.86
93,D,102,DHDH,29.429,-26.779,28.16 -28.30 31.08 -25.76
96,D,122,NASV,-56.674,-67.219,-59.75 -68.80 -53.01 -66.17
97,A,38,NASV,75.208,70.353,69.37 68.78 79.09 72.05
97,A,39,NASV,70.185,71.935,64.06 70.37 74.31 73.55
97,A,40,NASV,64.56,73.307,58.15 71.75 68.93 74.85
97,A,41,NASV,58.648,74.419,52.68 72.94 62.78 75.78
97,A,42,NASV,52.409,75.278,46.04 73.77 56.91 76.62
97,A,43,NASV,45.383,75.977,39.55 74.52 49.59 77.17
97,A,44,NASV,37.578,76.446,31.28 75.02 42.24 77.55
97,A,45,NASV,27.382,76.826,19.96 75.36 32.68 77.61
98,A,43,NASV,20.331,75.971,14.38 74.52 24.63 77.17
99,D,65,DHDH,-100.27,46.751,-102.19 45.02 -97.86 47.91
99,D,66,DHDH,-101.268,44.794,-103.10 43.08 -98.95 45.95
99,D,67,DHDH,-102.201,42.828,-103.96 41.12 -99.97 43.98
99,D,68,DHDH,-103.076,40.855,-104.77 39.16 -100.92 42.00
99,D,69,DHDH,-103.889,38.898,-105.49 37.24 -101.82 40.01
99,D,70,DHDH,-104.658,36.949,-106.24 35.27 -102.64 38.07
99,D,71,DHDH,-105.411,34.961,-106.95 33.29 -103.44 36.08
