track,direction,frame,pol,n_dates,first,last,span_days,max_gap_days,n_12day,n_beta,n_prov,crids
53,A,44,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
53,A,45,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
53,D,46,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
53,D,47,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
54,A,42,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
54,A,43,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
54,A,44,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
54,A,45,NASV,12,2025-10-20,2026-07-23,276,156,10,8,4,P05023/X05009/X05010
57,A,20,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
57,A,21,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
57,A,22,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,119,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,120,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,121,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,122,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,123,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
67,D,124,NASV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,64,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,65,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,66,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,69,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,70,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,71,DHDH,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
69,D,73,NADV,12,2025-10-21,2026-07-24,276,156,10,8,4,P05023/X05009/X05010
